,번호,보관소명,자치구,상세주소,위도,경도,설치시기,거치대수(LCD),거치대수(QR),운영방식
856,1601, 석계역 문화광장 내 자전거 보관소,노원구,서울특별시 노원구 화랑로 331,37.61518097,127.0646439,2021-06-17,,10,QR
857,1602, 광운대역 앞,노원구,서울특별시 노원구 석계로 98-2 노원구 월계동 412-1,37.62266159,127.0618973,2017-06-27,13,,LCD
858,1605, 헬스케어,노원구,서울특별시 노원구 월계로 378 노원구 월계동 321-4,37.63162231,127.061615,2017-06-22,10,,LCD
859,1606, 태릉입구역 3번출구,노원구,서울특별시 노원구 동일로 지하 992-1 노원구 공릉동 616-4,37.61917114,127.0749283,2017-05-08,10,,LCD
860,1608, 공릉역 1번 출구 앞,노원구,서울특별시 노원구 동일로 지하 1074 노원구 공릉동 385-4,37.62661362,127.0727539,2017-05-26,10,,LCD
861,1610, 화랑대역 2번출구 앞,노원구,서울특별시 노원구 화랑로 지하 510 노원구 공릉동 280-12,37.62036896,127.0836411,2017-05-08,20,,LCD
862,1611, 과기대 입구(우),노원구,서울특별시 노원구 공릉로 232 노원구 공릉동 436-4,37.62994003,127.0765533,2017-05-08,20,,LCD
863,1616, 하계2동 공항버스정류장 옆,노원구,서울특별시 노원구 동일로 지하 1196 노원구 하계동 273-5,37.63510895,127.0683289,2017-05-08,10,,LCD
864,1617, 하계동 중평어린이공원 앞,노원구,서울특별시 노원구 섬밭로 241 하계동 271-1,37.63714981,127.0632706,2017-05-08,20,,LCD
865,1619, 중계동 하나프라자빌딩 앞(중1-1),노원구,서울특별시 노원구 한글비석로 235 노원구 중계동 391,37.64902115,127.0764084,2017-05-26,10,,LCD
866,1620, 중계동 노원구민체육센터 옆(중1-2),노원구,서울특별시 노원구 노원로22길 1 노원구 중계1동 360-18,37.64820862,127.070221,2017-06-22,10,,LCD
867,1625,상계역 3번출구,노원구,서울특별시 노원구 상계로 182 노원구 상계동 173-19,37.65999985,127.0729675,2017-06-27,20,,LCD
868,1627, 수락산역 4번출구,노원구,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1263,37.67694092,127.0550995,2017-06-27,13,12,QR
869,1628, 노일초등학교 앞,노원구,서울특별시 노원구 동일로 1652 노원구 상계동 1118-9,37.67361832,127.0552521,2017-06-22,5,,LCD
870,1630, 수연빌딩 앞,노원구,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1132-9,37.67625046,127.0555039,2017-06-21,10,10,QR
871,1634, 당고개공원 대여소,노원구,서울특별시 노원구 상계동 1355-2,37.66846085,127.0771484,2017-05-08,15,,LCD
872,1635, 상계3.4동 주민센터 대여소,노원구,서울특별시 노원구 덕릉로131길 8 노원구 상계동 37-7,37.67271042,127.0831604,2017-05-08,6,,LCD
873,1636, 상계주공2단지 버스정류장 옆,노원구,서울특별시 노원구 동일로 1351 노원구 상계동 747,37.64921188,127.0617676,2017-05-08,10,,LCD
874,1637, KT 전화국 버스정류장 옆,노원구,서울특별시 노원구 노해로 489 노원구 상계동 719-1,37.65470123,127.0634003,2017-05-08,9,,LCD
875,1639, 희성오피앙,노원구,서울특별시 노원구 동일로 1701 노원구 상계동 1263,37.68031311,127.055069,2017-05-08,10,,LCD
876,1640, 한내근린공원 북측,노원구,서울특별시 노원구 마들로 86 한내근린공원 북측,37.62386322,127.0684891,2017-08-30,10,9,QR
877,1641, 한내근린공원 남측,노원구,서울특별시 노원구 마들로 86 한내근린공원 남측,37.62155533,127.0695114,2017-08-30,15,,LCD
878,1642, 서울여대 남문,노원구,서울특별시 노원구 화랑로 621 서울여자대학교 서울여대 후문,37.62531662,127.0881348,2017-08-23,7,,LCD
879,1643, 태릉입구역 8번출구,노원구,서울특별시 노원구 공릉동 687-6 태릉입구역 8번출구,37.61736679,127.0752106,2017-11-01,10,,LCD
880,1646, 삼육대 입구,노원구,서울특별시 노원구 공릉동 26-43 삼육대 입구,37.63848877,127.1079025,2017-11-01,10,,LCD
881,1650, 중계근린공원내,노원구,서울특별시 노원구 중계동 506-3 중계근린공원내,37.63957977,127.0651016,2017-11-01,20,25,QR
882,1651, 상계동 우방유쉘아파트 앞,노원구,서울특별시 노원구 상계동 1118-9 맥도날드 상계점 앞,37.67237473,127.0559921,2017-11-01,20,,LCD
883,1652, 파르코 앞,노원구,서울특별시 노원구 상계동 1263 파르코 앞,37.68000031,127.0555801,2017-11-01,10,,LCD
884,1653, 노원역1번출구,노원구,서울특별시 노원구 상계동 335-4 노원역1번출구,37.65620041,127.0636215,2017-11-01,10,,LCD
885,1654, 당고개입구 오거리,노원구,서울특별시 노원구 상계동 172-2 보훈회관 대여소,37.66379166,127.0754471,2017-11-01,15,,LCD
886,1655, 공릉1단지아파트,노원구,서울특별시 동일로 1127 공릉1단지아파트,37.63111115,127.0701599,2017-11-01,15,,LCD
887,1656, 중앙하이츠 아파트 입구,노원구,서울특별시 노원구 노원로 434 상계2차중앙하이츠아파트,37.65501785,127.0675049,2017-11-01,12,,LCD
888,1657, 노원구청,노원구,서울특별시 노원구 노해로 437 노원구청,37.65404892,127.0573273,2017-11-01,20,,LCD
889,1659, 중계동 을지중학교,노원구,서울특별시 노원구 중계동 370 중계동 을지중학교,37.65032959,127.0716019,2017-11-01,10,,LCD
890,1660, 서울시립과학관,노원구,서울특별시 노원구 하계동 266 서울시립과학관,37.64207077,127.076622,2017-11-01,8,,LCD
891,1661, 당현천근린공원,노원구,서울특별시 노원구 동일로 1342 당현천근린공원,37.64963913,127.0656052,2017-11-28,10,,LCD
892,1662, 노원역7번출구,노원구,서울특별시 노원구 노해로 459 메가빌딩,37.65421677,127.0592117,2017-11-28,20,,LCD
893,1663, 동해문화예술관앞,노원구,서울특별시 노원구 화랑로 429 동해문화예술관앞,37.61938095,127.0578537,2017-11-28,25,,LCD
894,1664, 노해근린공원내,노원구,서울특별시 노원구 노원로22길 1 노해근린공원내,37.64936066,127.0704422,2017-11-28,10,,LCD
895,1665, 양지근린공원앞,노원구,서울특별시 노원구 한글비석로 227 양지근린공원앞,37.64699554,127.0764008,2017-11-28,10,,LCD
896,1666, 노원소방서인근,노원구,서울특별시 노원구 노원로26길 111 노원소방서인근,37.65578079,127.0717773,2017-11-28,10,,LCD
897,1667, 중계중학교,노원구,서울특별시 노원구 덕릉로76길 23 중계중학교,37.65449905,127.0743866,2017-11-28,10,,LCD
898,1668, 중계역 6번출구,노원구,서울특별시 노원구 동일로 지하 1308-1 중계역 6번출구,37.64556503,127.0633469,2017-11-28,10,,LCD
899,1669, 중계역 3번출구,노원구,서울특별시 노원구 동일로 지하 1308-1 중계역 3번출구,37.64352798,127.0652237,2017-11-28,9,,LCD
900,1670, 노원경찰서교차로,노원구,서울특별시 노원구 노원로 283 노원경찰서교차로,37.64340973,127.0718384,2017-11-28,20,,LCD
901,1671, 인덕대학교,노원구,서울특별시 노원구 초안산로 12 인덕대학교,37.62934875,127.0548248,2017-11-28,15,,LCD
902,1672, 상계동수락리버시티,노원구,서울특별시 노원구 누원로 18 상계동수락리버시티,37.68859863,127.0534058,2017-11-28,15,,LCD
903,1674, 서울북부고용센터앞,노원구,서울특별시 노원구 노해로 450 서울북부고용센터앞,37.65354919,127.0580826,2017-11-28,15,,LCD
904,1675, 월계문화체육센터,노원구,서울특별시 노원구 월계로 280 월계문화체육센터,37.62694168,127.05513,2017-12-22,9,,LCD
905,1677, 육군사관학교 앞,노원구,서울특별시 노원구 화랑로 570 육군사관학교 앞,37.62316513,127.0904999,2017-12-22,15,,LCD
906,1678, 성서대학교 밀알관,노원구,서울특별시 노원구 동일로214길 32 성서대학교 밀알관,37.6484375,127.0644455,2018-02-26,10,,LCD
907,1679, 삼육대 도서관,노원구,서울특별시 노원구 화랑로 815 삼육대 도서관,37.6428299,127.1066666,2018-02-26,10,,LCD
908,1680, 삼육대 제3과학관,노원구,서울특별시 노원구 화랑로 653 삼육대 후문 삼거리,37.64265442,127.1083832,2018-02-26,7,,LCD
909,1681, 현대6차 아파트,노원구,서울특별시 노원구 중계로8길 20 현대6차 아파트,37.64580154,127.0822601,2018-03-15,12,,LCD
910,1682, 중계종합사회복지관 교차로,노원구,서울특별시 노원구 덕릉로 662 중계3단지주공영구임대아파트,37.65745544,127.0755463,2018-03-15,13,13,QR
911,1683, 노원문화예술회관,노원구,서울특별시 노원구 중계로 181 노원문화예술회관,37.65045929,127.0808868,2018-10-27,5,,LCD
912,1684, 태릉입구역 5번출구,노원구,서울특별시 노원구 동일로 986 태릉입구역 5번출구와 6번출구 사이,37.61832047,127.0756302,2018-10-27,20,,LCD
913,1685, 불암고등학교 앞 횡단보도,노원구,서울특별시 노원구 중계로 155 불암고등학교 앞 횡단보도,37.64818954,127.0804825,2018-10-27,8,,LCD
914,1686, 상계주공10단지 종합상가 앞,노원구,서울특별시 노원구 동일로227길 85 온수골사거리(스타벅스앞),37.66114044,127.0580521,2018-11-02,15,,LCD
915,1688, 마들역 7번출구,노원구,서울특별시 노원구 동일로 지하 1530-1 마들역 7번출구,37.66566086,127.0572968,2018-11-02,9,9,QR
916,1689, 마들역 3번출구,노원구,서울특별시 노원구 동일로 지하 1530-1 마들역 3번출구,37.66524887,127.0578919,2018-11-02,10,10,QR
917,1690, 도봉운전면허시험장 버스정류장 옆,노원구,서울특별시 노원구 동일로 1449 도봉운전면허시험장,37.6577301,127.0593109,2018-11-02,10,,LCD
918,1691, 노원정보도서관,노원구,서울특별시 노원구 노원로34길 43 노원정보도서관,37.66070938,127.0653305,2018-11-02,10,,LCD
919,1692, 온곡초교 교차로,노원구,서울특별시 노원구 한글비석로 471 온곡초교 교차로,37.66418839,127.0660095,2018-12-14,10,,LCD
920,1693, 원자력 병원,노원구,서울특별시 노원구 노원로 75 원자력병원 국가방사선 비상진료센터,37.62818909,127.0821075,2019-03-29,10,,LCD
921,1696,수락리버시티4단지,노원구,서울특별시 노원구 누원로 18 수락리버시티4단지,37.68645096,127.0528336,2020-03-21,,10 ,QR
922,1697,상계주공2단지 219동,노원구,서울특별시 노원구 동일로215길 81 새상계교회,37.65024948,127.0571518,2020-03-23,,10 ,QR
923,2901,공릉동풍림아파트 101동,노원구,서울특별시 노원구 섬밭로 139 공릉풍림아파트,37.62981415,127.0665054,2020-03-24,,8 ,QR
924,2902,공릉풍림아파트 108동,노원구,서울특별시 노원구 섬밭로 139 공릉풍림아파트,37.62862015,127.0669098,2020-03-24,,12 ,QR
925,2903,월계초안아파트 1단지,노원구,서울특별시 노원구 덕릉로60타길 24,37.63372803,127.0443649,2020-03-24,,10 ,QR
926,2904,중계3차청구아파트,노원구,서울특별시 노원구 중계로 233 청구3차아파트,37.65050507,127.0739822,2020-03-24,,8 ,QR
927,2907, 월계중학교,노원구,서울특별시 노원구 초안산로 29 신계초등학교,37.63074875,127.0531082,2020-03-24,,15 ,QR
928,2908, 광운대학교 중앙도서관,노원구,서울특별시 노원구 광운로 20 광운대학교,37.62000275,127.0585632,2020-03-24,,20 ,QR
929,2909, 석계역 3번 출구,노원구,서울특별시 노원구 화랑로 351-2 구두수선대196,37.61545944,127.0674515,2020-03-25,,13 ,QR
930,2910,도깨비시장,노원구,서울특별시 노원구 동일로 1028 한의학명가,37.62186432,127.0740509,2020-03-25,,10 ,QR
931,2911,상계역중앙시장,노원구,서울특별시 노원구 한글비석로 389-2 가로판매대,37.6588707,127.0719147,2020-03-23,,7 ,QR
932,2912,대진고등학교,노원구,서울특별시 노원구 한글비석로 97,37.63815689,127.0732651,2020-03-23,,20 ,QR
933,2913,상계8동 주민센터,노원구,서울특별시 노원구 동일로227길 85 상계주공11단지아파트,37.66712952,127.0517654,2020-03-23,,17 ,QR
934,2914,서울과학기술대학교(미래관),노원구,서울특별시 노원구 노원로 75 한국원자력의학원,37.62950897,127.0810394,2020-06-10,,10 ,QR
935,2915,서울과학기술대학교(어학교육원),노원구,서울특별시 노원구 공릉로58길 130 서울과학기술대학교 생활관,37.63489914,127.0776749,2020-03-24,,35 ,QR
936,2917,신창중학교 후문 맞은편 버스정류장,노원구,서울특별시 노원구 월계동 855-26,37.62807083,127.0469208,2020-03-30,,10 ,QR
937,2919,등나무 근린공원(시립북서울미술관 앞),노원구,서울특별시 노원구 동일로 1231-2 가로판매대173,37.64020538,127.0676193,2020-03-23,,16 ,QR
938,2920,상계중학교(당현2교사거리),노원구,서울특별시 노원구 상계동 225-5,37.65103531,127.0687103,2020-03-23,,14 ,QR
939,2921,중계역 2번출구,노원구,노원구 중계동 514-6,37.64587021,127.0656204,2020-03-26,,10 ,QR
940,4002, 상계주공 14단지 상가 앞,노원구,서울특별시 노원구 (도로명) 서울 노원구 동일로 228길 23,37.66963577,127.0597076,2021-03-03,,10 ,QR
941,4003, 상계초교 입구 교차로 명주빌딩 앞,노원구,서울특별시 노원구 서울 노원구 노원로 449,37.65680313,127.0665741,2021-03-03,,15 ,QR
942,4004, 당고개입구오거리 당현천변,노원구,서울특별시 노원구 서울 노원구 중계동 140-46,37.66260529,127.0755768,2021-03-03,,10 ,QR
943,4005, 중계2차 한화꿈에그린 101동 인근,노원구,서울특별시 노원구 서울 노원구 덕릉로83길 5,37.65955734,127.0752564,2021-03-03,,10 ,QR
944,4007, 노원 을지대학교 병원,노원구,서울특별시 노원구 서울 노원구 한글비석로 68,37.63666916,127.0696945,2021-03-04,,9 ,QR
945,4008, 하계 어린이 공원,노원구,노원구 하계2동 273-3,37.63341522,127.0691605,2021-03-02,,10 ,QR
946,4009, 월계프라자,노원구,서울특별시 노원구 초안산로5길 22 대우아파트,37.63284302,127.0521317,2021-02-26,,20 ,QR
947,4011, 월계 센트럴 아이파크,노원구,서울특별시 노원구 서울 노원구 초안산로2라길 26,37.62917328,127.0569305,2021-02-26,,10 ,QR
948,4013, 중계 롯데마트,노원구,서울특별시 노원구 서울 노원구 노원로 330,37.64584351,127.070755,2021-03-03,,20 ,QR
949,4014, 당고개역 3번 출구,노원구,서울특별시 노원구 서울 노원구 상계로 305,37.67030334,127.0788422,2021-03-03,,10 ,QR
950,4016, 노원 마들스타디움,노원구,서울특별시 노원구 서울 노원구 덕릉로 450,37.64530945,127.0574417,2021-03-25,,10 ,QR
951,4017, 월계 청백1단지 아파트 정류장,노원구,서울특별시 노원구 초안산로 89 월계청백1단지아파트,37.63459396,127.052063,2021-02-26,,20 ,QR
952,4018, 상계주공15단지 버스정류소,노원구,서울특별시 노원구 서울 노원구 상계동 650,37.66782761,127.056839,2021-03-02,,8 ,QR
953,4019, 상계주공10단지 버스정류소,노원구,서울특별시 노원구 서울 노원구 상계동 694-1,37.66214371,127.058197,2021-03-03,,7 ,QR
954,4020, 중계동 성모빌딩 앞,노원구,서울특별시 노원구 한글비석로 263 성모빌딩,37.65116119,127.0765915,2021-03-04,,10 ,QR
955,4021, 중계본동 입구,노원구,서울특별시 노원구 서울 노원구 중계로 90,37.64426041,127.083313,2021-03-04,,10 ,QR
956,4023, 월계역 1번 출구,노원구,서울특별시 노원구 월계동 263-6,37.63441086,127.0588684,2021-02-26,,10 ,QR
957,4024, 꿈의숲 SK뷰 아파트,노원구,서울특별시 노원구 서울시 노원구 월계로 42길97,37.62045288,127.054451,2021-03-04,,10 ,QR
958,4025, 한천교 동편,노원구,서울특별시 노원구 서울 노원구 공릉동 547-1,37.62533569,127.0701904,2021-03-04,,10 ,QR
959,4026, 상계주공1단지아파트,노원구,서울특별시 노원구 덕릉로459-21,37.64795303,127.0579376,2021-03-03,,10 ,QR
960,4027, 한내 행복발전소 옆,노원구,서울특별시 노원구 서울 노원구 마들로3길 15 (월계동),37.62741089,127.0621414,2021-04-27,,10 ,QR
961,4028, 한일유앤아이아파트 105동 인근,노원구,서울특별시 노원구 노원구 상계동 197-38,37.65351868,127.0713043,2021-03-04,,10 ,QR
962,4029, 청소년수련관 후문,노원구,서울특별시 노원구 노원구 중계동 504-2,37.6396637,127.0604172,2021-03-02,,8 ,QR
963,4031, 청암예술학교 앞,노원구,서울특별시 노원구 덕릉로76길 18 원광초등학교,37.65153503,127.0732727,2021-03-25,,10 ,QR
964,4032,불암주유소 앞,노원구,서울특별시 노원구 서울 노원구 한글비석로 268,37.65149689,127.0770416,2021-03-02,,10 ,QR
965,4033, 녹천역 4번 출구 옆,노원구,서울특별시 노원구 서울 노원구 월계동 700-6,37.64292908,127.0519486,2021-03-02,,9 ,QR
966,4035, 휴플러스 수락한신아파트 101동 앞,노원구,서울특별시 노원구 상계동 996-2,37.674366,127.0594711,2021-05-14,,6 ,QR
967,4036, 하계역 6번출구,노원구,서울특별시 노원구 노원구 하계동 273-5,37.63793945,127.0671539,2021-04-27,,9 ,QR
968,4037, 물넘이교,노원구,서울특별시 노원구 노원구 중계동 588-5,37.65408325,127.0719528,2021-06-01,,15 ,QR
969,4039, 서울시 북부여성발전센터,노원구,서울특별시 노원구 동일로207길 50,37.64304352,127.0621338,2021-07-05,,10,QR
970,4040, 공릉로 26길,노원구,서울특별시 노원구 공릉동 656-6,37.61965561,127.0814667,2021-07-15,,10,QR
971,4041, 공릉역3번출구,노원구,서울특별시 노원구 공릉동 405-6,37.62500381,127.0730133,2021-07-23,,8,QR
972,4042, 상계문화정보도서관,노원구,서울특별시 노원구 노원구 동일로243길 57,37.67851257,127.0517426,2021-08-27,,10,QR
973,4043, 상계주공13단지 1301동,노원구,서울특별시 노원구 한글비석로54길 92 상계주공13단지아파트,37.66674042,127.0638886,2021-09-24,,10,QR
974,4044, 공릉산 백세문 입구,노원구,서울특별시 노원구 노원로 62 공릉해링턴플레이스,37.62812042,127.0854874,2021-10-07,,4,QR
975,4045, 은하수 공원,노원구,서울특별시 노원구 노원구 우이천로 102,37.63000488,127.0440979,2021-10-27,,8,QR
976,5301, 상계주공1단지 버스정류장 옆(대원빌딩 앞),노원구,서울특별시 노원구 동일로 1331-2 구두수선대,37.64805984,127.0623932,2021-12-15,,4,QR
977,5305, 대륜E&S 서울지사 앞,노원구,서울특별시 노원구 덕릉로70길 64,37.64255524,127.0603867,2022-05-16,,10,QR
978,5306, 동신아파트 후문 옆,노원구,서울특별시 노원구 공릉로 213 동신아파트,37.62786102,127.0763779,2022-05-16,,6,QR
979,5309, 월계 롯데캐슬아파트 뒤,노원구,서울특별시 노원구 월계동 865-5,37.62514877,127.0499344,2022-07-11,,5,QR
980,5310, 목련아파트,노원구,서울특별시 노원구 노원로 333 목련아파트상가,37.64862823,127.0691834,2022-07-27,,9,QR
981,5308, 상계신동아아파트,노원구,서울특별시 노원구 한글비석로46나길 10 금호아파트,37.66767883,127.0682526,2022-07-06,,5,QR
982,5311, 주공601동 상가 노원지하보도 앞,노원구,서울특별시 노원구 동일로 1386-2 가로판매대,37.65229416,127.061348,2022-07-29,,5,QR
983,5314, 월계1동주민센터 앞,노원구,서울특별시 노원구 석계로 59 월계1동주민센터,37.61985016,127.0631027,2022-09-06,,6,QR
984,5313, 중계주공2단지 앞,노원구,서울특별시 노원구 한글비석로 332 주공2단지아파트,37.65694046,127.0780487,2022-08-23,,5,QR
985,5315, 당고개역 앞,노원구,서울특별시 노원구 상계로 309,37.67073822,127.0796204,2022-09-07,,5,QR
986,5317,공릉동 신도1차 아파트 뒤,노원구,서울특별시 노원구 동일로191가길 59 공릉동 신도1차아파트,37.62780762,127.0696182,2022-10-31,,5,QR
987,5318, 극동의 푸른별 아파트 뒤(중계4동주민센터 앞),노원구,서울특별시 노원구 한글비석로14길 36 극동의푸른별 2차아파트,37.65868759,127.0775909,2022-10-11,,10,QR
988,5319,연해피빌 앞,노원구,노원구 공릉로62가길 14,37.63645935,127.0727692,2022-11-29,,10,QR
989,5320,한국스포츠정책과학원 앞,노원구,노원구 화랑로 727,37.63573456,127.1058502,2022-12-20,,18,QR
990,5321,불암아파트 앞,노원구,노원구 상계동 107-1798,37.66751862,127.0791626,2023-02-10,,5,QR
991,5322,노원성당 앞,노원구,노원구 한글비석로 585,37.66450882,127.0527039,2023-03-09,,5,QR
992,5323,하계역 4번출구 앞,노원구,노원구 섬밭로196,37.63534546,127.0675278,2023-08-16,,13,QR
993,5330,구립수락노인복지관,노원구,노원구 수락산로 214,37.6712532,127.0547485,2023-12-12,,15,QR
994,5325,상계주공7단지 아파트 앞,노원구,노원구 동일로 1456,37.65983963,127.0593567,2023-10-06,,10,QR
995,5326,대진고교앞 교차로,노원구,노원구 노원로 236,37.6391716,127.0747299,2023-09-05,,10,QR
996,5327,태릉선수촌 앞,노원구,노원구 화랑로 681,37.63434219,127.1042786,2023-10-05,,10,QR
997,5328,롯데캐슬시그니처 아파트 앞,노원구,노원구 상계동 84-9,37.66475296,127.076004,2023-11-08,,10,QR
998,5329,상계주공15단지 1509동 앞,노원구,노원구 동일로227길 26,37.66940308,127.0563202,2023-12-08,,10,QR
